session,sham,ACCX,SEM_sham,SEM_accx
1,0,-0.2,0.788170109,0.4163332
2,0.666666667,-0.3,0.481999204,0.366666667
3,-0.333333333,-0.2,0.721250317,0.533333333
4,1.583333333,1,0.583333333,0.471404521
5,-0.25,-0.3,0.76993703,0.51747249
6,1.75,-0.8,0.641081,0.489897949
7,1,-1.1,0.843872746,0.795124029
8,4.083333333,0.2,1.040529683,0.646357314
9,4.666666667,1.6,0.699927846,0.561743318
10,3.333333333,3.3,1.024941486,1.000555401
11,4.5,5.3,0.722998805,1.085766498
12,4.416666667,3.9,0.633153882,0.70632067
