time,rnk,cores,mode,uw,ov,ovm,overhead,ov,exp,mode,distrib
0.035056,0,1,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.031245,0,1,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.028189,0,1,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.033701,0,1,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.036452,0,1,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.035587,0,1,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.028555,0,1,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.032609,0,1,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.033661,0,1,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.038142,0,1,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.030206,0,1,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.034105,0,1,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.031231,0,1,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.029316,0,1,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.034845,0,1,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.038599,0,1,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.030845,0,1,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.034926,0,1,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.039352,0,1,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.039343,0,1,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.04056,0,1,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.039748,0,1,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.036857,0,1,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.035081,0,1,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.033464,0,1,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.038393,0,1,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.034215,0,1,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.04494,0,1,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.038115,0,1,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.050176,0,1,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.038239,0,1,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.031717,0,1,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.038007,0,1,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.04469,0,1,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.03736,0,1,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.035102,0,1,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.034843,0,1,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.033001,0,1,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.036951,0,1,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.04464,0,1,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.054914,0,1,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.055994,0,1,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.071955,0,1,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.048107,0,1,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.049518,0,1,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.049617,0,1,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.046951,0,1,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.063437,0,1,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.044422,0,1,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.044301,0,1,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.042035,0,1,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.043656,0,1,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.048831,0,1,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.043654,0,1,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.043988,0,1,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.04761,0,1,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.044912,0,1,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.042122,0,1,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.042229,0,1,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.045364,0,1,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.105711,0,1,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.089223,0,1,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.072134,0,1,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.068989,0,1,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.071661,0,1,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.103796,0,1,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.080271,0,1,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
